metric_optim,lr,fold,NSR,dataset,metric_eval,y
rbp_95,0.01,0,5,Epinions,RR,0.956
rr,10,0,5,Epinions,AP,0.3252
rr,10,0,5,Epinions,NDCG,0.6634
rr,10,0,5,Epinions,RBP_80,0.3741
rr,10,0,5,Epinions,RBP_90,0.2767
rr,10,0,5,Epinions,RBP_95,0.2036
rr,10,0,5,Epinions,RR,0.7614
ap,10,1,1,Epinions,AP,0.9077
ap,10,1,1,Epinions,NDCG,0.9672
ap,10,1,1,Epinions,RBP_80,0.8143
ap,10,1,1,Epinions,RBP_90,0.6297
ap,10,1,1,Epinions,RBP_95,0.4292
ap,10,1,1,Epinions,RR,0.9856
dcg,3,1,1,Epinions,AP,0.91
dcg,3,1,1,Epinions,NDCG,0.9682
dcg,3,1,1,Epinions,RBP_80,0.8165
dcg,3,1,1,Epinions,RBP_90,0.631
dcg,1,1,1,Epinions,RBP_95,0.4298
dcg,10,1,1,Epinions,RR,0.9871
rbp_80,0.1,1,1,Epinions,AP,0.9129
rbp_80,0.1,1,1,Epinions,NDCG,0.9688
rbp_80,0.1,1,1,Epinions,RBP_80,0.8174
rbp_80,0.1,1,1,Epinions,RBP_90,0.6318
rbp_80,0.1,1,1,Epinions,RBP_95,0.4301
rbp_80,0.1,1,1,Epinions,RR,0.9855
rbp_90,0.1,1,1,Epinions,AP,0.9126
rbp_90,0.1,1,1,Epinions,NDCG,0.9685
rbp_90,0.1,1,1,Epinions,RBP_80,0.817
rbp_90,0.1,1,1,Epinions,RBP_90,0.6319
rbp_90,0.1,1,1,Epinions,RBP_95,0.4303
rbp_90,0.1,1,1,Epinions,RR,0.9849
rbp_95,0.1,1,1,Epinions,AP,0.9122
rbp_95,0.1,1,1,Epinions,NDCG,0.9683
rbp_95,0.1,1,1,Epinions,RBP_80,0.8166
rbp_95,0.1,1,1,Epinions,RBP_90,0.6318
rbp_95,0.1,1,1,Epinions,RBP_95,0.4303
rbp_95,0.1,1,1,Epinions,RR,0.9852
rr,10,1,1,Epinions,AP,0.6378
rr,10,1,1,Epinions,NDCG,0.8495
rr,10,1,1,Epinions,RBP_80,0.6073
rr,10,1,1,Epinions,RBP_90,0.4791
rr,10,1,1,Epinions,RBP_95,0.3467
rr,1,1,1,Epinions,RR,0.9189
ap,3,1,2,Epinions,AP,0.8634
ap,3,1,2,Epinions,NDCG,0.9496
ap,3,1,2,Epinions,RBP_80,0.7873
ap,10,1,2,Epinions,RBP_90,0.6085
ap,10,1,2,Epinions,RBP_95,0.4165
ap,10,1,2,Epinions,RR,0.9778
dcg,10,1,2,Epinions,AP,0.8682
dcg,10,1,2,Epinions,NDCG,0.9515
dcg,10,1,2,Epinions,RBP_80,0.7908
dcg,10,1,2,Epinions,RBP_90,0.6106
dcg,10,1,2,Epinions,RBP_95,0.4176
dcg,10,1,2,Epinions,RR,0.9779
rbp_80,0.1,1,2,Epinions,AP,0.8727
rbp_80,0.1,1,2,Epinions,NDCG,0.9528
rbp_80,0.1,1,2,Epinions,RBP_80,0.7934
rbp_80,0.1,1,2,Epinions,RBP_90,0.6119
rbp_80,0.1,1,2,Epinions,RBP_95,0.4177
rbp_80,0.01,1,2,Epinions,RR,0.9763
rbp_90,0.1,1,2,Epinions,AP,0.8722
rbp_90,0.1,1,2,Epinions,NDCG,0.9523
rbp_90,0.1,1,2,Epinions,RBP_80,0.793
rbp_90,0.1,1,2,Epinions,RBP_90,0.6121
rbp_90,0.1,1,2,Epinions,RBP_95,0.418
rbp_90,0.1,1,2,Epinions,RR,0.9758
rbp_95,0.1,1,2,Epinions,AP,0.8702
rbp_95,0.01,1,2,Epinions,NDCG,0.951
rbp_95,0.1,1,2,Epinions,RBP_80,0.7913
rbp_95,0.1,1,2,Epinions,RBP_90,0.6116
rbp_95,0.1,1,2,Epinions,RBP_95,0.418
rbp_95,0.01,1,2,Epinions,RR,0.9746
rr,10,1,2,Epinions,AP,0.4982
rr,10,1,2,Epinions,NDCG,0.7765
rr,10,1,2,Epinions,RBP_80,0.5043
rr,10,1,2,Epinions,RBP_90,0.3909
rr,10,1,2,Epinions,RBP_95,0.2887
rr,10,1,2,Epinions,RR,0.8673
ap,1,1,5,Epinions,AP,0.7876
ap,1,1,5,Epinions,NDCG,0.9159
ap,1,1,5,Epinions,RBP_80,0.7408
ap,1,1,5,Epinions,RBP_90,0.5706
ap,1,1,5,Epinions,RBP_95,0.3921
ap,1,1,5,Epinions,RR,0.9566
dcg,3,1,5,Epinions,AP,0.7952
dcg,3,1,5,Epinions,NDCG,0.9196
dcg,3,1,5,Epinions,RBP_80,0.7456
dcg,3,1,5,Epinions,RBP_90,0.5742
dcg,3,1,5,Epinions,RBP_95,0.3943
dcg,3,1,5,Epinions,RR,0.9603
rbp_80,0.01,1,5,Epinions,AP,0.8015
rbp_80,0.01,1,5,Epinions,NDCG,0.9219
rbp_80,0.01,1,5,Epinions,RBP_80,0.7506
rbp_80,0.01,1,5,Epinions,RBP_90,0.5769
rbp_80,0.01,1,5,Epinions,RBP_95,0.3945
rbp_80,0.01,1,5,Epinions,RR,0.9608
rbp_90,0.01,1,5,Epinions,AP,0.8014
rbp_90,0.01,1,5,Epinions,NDCG,0.9216
