loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rr,1.0,4,0,1,2.0,32,0.4475,0.7239,0.7545,0.4716,0.3819,0.3069,0.2216
rr,3.0,4,0,1,2.0,32,0.4605,0.7299,0.7638,0.4793,0.3901,0.3106,0.2228
dcg,0.001,4,0,1,5.0,32,0.1692,0.5285,0.3693,0.2375,0.168,0.1641,0.145
ndcg_5,0.001,4,0,1,5.0,32,0.1692,0.5285,0.3692,0.2374,0.168,0.1641,0.145
rr,10.0,4,0,1,2.0,32,0.4685,0.7321,0.7692,0.4815,0.3936,0.3118,0.2231
dcg,0.1,4,0,1,5.0,32,0.639,0.797,0.8692,0.5763,0.499,0.3499,0.2288
dcg,0.01,4,0,1,5.0,32,0.1962,0.5442,0.4168,0.2513,0.1852,0.1726,0.1483
ndcg_5,0.1,4,0,1,5.0,32,0.639,0.797,0.8692,0.5763,0.499,0.3499,0.2288
ndcg_5,0.01,4,0,1,5.0,32,0.1962,0.5442,0.4168,0.2513,0.1852,0.1726,0.1483
dcg,1.0,4,0,1,5.0,32,0.6409999999999999,0.7979999999999999,0.8713,0.578,0.5007,0.3509,0.2292
ndcg_5,1.0,4,0,1,5.0,32,0.6409999999999999,0.7979999999999999,0.8713,0.578,0.5007,0.3509,0.2292
dcg,3.0,4,0,1,5.0,32,0.6406,0.7979,0.8705,0.5779,0.5006,0.3508,0.2292
ndcg_5,3.0,4,0,1,5.0,32,0.6406,0.7979,0.8705,0.5779,0.5006,0.3508,0.2292
dcg,10.0,4,0,1,5.0,32,0.6395,0.7975,0.8702,0.5772,0.5,0.3505,0.2291
ndcg_5,10.0,4,0,1,5.0,32,0.6395,0.7975,0.8702,0.5772,0.5,0.3505,0.2291
rbp_80,0.001,4,0,1,5.0,32,0.6387,0.7956,0.8651,0.5764,0.501,0.3514,0.22899999999999998
rbp_90,0.001,4,0,1,5.0,32,0.6384,0.7956,0.865,0.5764,0.5009,0.3514,0.2291
rbp_95,0.001,4,0,1,5.0,32,0.638,0.7953,0.8640000000000001,0.5760000000000001,0.5006,0.3513,0.2291
rbp_80,0.01,4,0,1,5.0,32,0.6401,0.7966,0.8663,0.5779,0.502,0.3521,0.2295
rbp_90,0.01,4,0,1,5.0,32,0.6401,0.7966,0.8663,0.5779,0.502,0.3521,0.2295
rbp_95,0.01,4,0,1,5.0,32,0.6401,0.7966,0.8663,0.5779,0.502,0.3521,0.2295
rbp_80,0.1,4,0,1,5.0,32,0.6172,0.7838,0.8362,0.5617,0.4884,0.3459,0.2271
rbp_90,0.1,4,0,1,5.0,32,0.6172,0.7838,0.8362,0.5617,0.4884,0.3459,0.2271
rbp_95,0.1,4,0,1,5.0,32,0.6172,0.7838,0.8362,0.5617,0.4884,0.3459,0.2271
