loss_type: ap, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7931, AP = 0.5685, RR = 0.8737, RBP_80 = 0.4878, RBP_90 = 0.3392, RBP_95 = 0.2223, 
loss_type: ap, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7932, AP = 0.5689, RR = 0.8733, RBP_80 = 0.4882, RBP_90 = 0.3393, RBP_95 = 0.2222, 
loss_type: ap, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7891, AP = 0.5621, RR = 0.87, RBP_80 = 0.4825, RBP_90 = 0.3359, RBP_95 = 0.2206, 
loss_type: ap, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7589, AP = 0.514, RR = 0.8381, RBP_80 = 0.4428, RBP_90 = 0.3119, RBP_95 = 0.2093, 
loss_type: rr, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5279, AP = 0.2387, RR = 0.3676, RBP_80 = 0.168, RBP_90 = 0.1641, RBP_95 = 0.1445, 
loss_type: rr, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5443, AP = 0.2506, RR = 0.4378, RBP_80 = 0.1841, RBP_90 = 0.1694, RBP_95 = 0.1458, 
loss_type: rr, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5736, AP = 0.2741, RR = 0.5448, RBP_80 = 0.2162, RBP_90 = 0.1806, RBP_95 = 0.1482, 
loss_type: rr, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5833, AP = 0.2833, RR = 0.5725, RBP_80 = 0.2263, RBP_90 = 0.1849, RBP_95 = 0.1497, 
loss_type: rr, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5928, AP = 0.2931, RR = 0.5938, RBP_80 = 0.2371, RBP_90 = 0.1905, RBP_95 = 0.1519, 
loss_type: rr, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5933, AP = 0.2938, RR = 0.5918, RBP_80 = 0.2395, RBP_90 = 0.1916, RBP_95 = 0.1521, 
loss_type: rbp_80, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7918, AP = 0.5697, RR = 0.8691, RBP_80 = 0.4953, RBP_90 = 0.3409, RBP_95 = 0.2202, 
loss_type: rbp_80, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7956, AP = 0.5742, RR = 0.8779, RBP_80 = 0.4983, RBP_90 = 0.3414, RBP_95 = 0.2202, 
loss_type: rbp_80, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7934, AP = 0.5709, RR = 0.8746, RBP_80 = 0.4946, RBP_90 = 0.3399, RBP_95 = 0.2198, 
loss_type: rbp_80, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6112, AP = 0.3587, RR = 0.4178, RBP_80 = 0.2891, RBP_90 = 0.2535, RBP_95 = 0.1903, 
