loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp_80,1.0,4,0,1,1.0,32,0.6961,0.8642,0.8534,0.7268,0.5848,0.428,0.2729
rbp_90,1.0,4,0,1,1.0,32,0.6961,0.8642,0.8534,0.7268,0.5848,0.428,0.2729
rbp_95,1.0,4,0,1,1.0,32,0.6961,0.8642,0.8534,0.7268,0.5848,0.428,0.2729
rbp_80,3.0,4,0,1,1.0,32,0.6308,0.8278,0.747,0.6863,0.5513,0.4162,0.2692
rbp_90,3.0,4,0,1,1.0,32,0.6308,0.8278,0.7467,0.6863,0.5513,0.4162,0.2692
rbp_95,3.0,4,0,1,1.0,32,0.6308,0.8278,0.7467,0.6863,0.5513,0.4162,0.2692
rbp_80,10.0,4,0,1,1.0,32,0.5856,0.8158,0.8044,0.6432,0.5174,0.3967,0.2615
rbp_90,10.0,4,0,1,1.0,32,0.5856,0.8158,0.8044,0.6432,0.5174,0.3967,0.2615
rbp_95,10.0,4,0,1,1.0,32,0.5856,0.8158,0.8044,0.6432,0.5174,0.3967,0.2615
rr,0.001,4,0,1,1.0,32,0.4978,0.7708,0.6983,0.5869,0.46799999999999997,0.3766,0.2546
rr,0.01,4,0,1,1.0,32,0.4983,0.7712,0.7,0.5871,0.4683,0.3767,0.2546
rr,0.1,4,0,1,1.0,32,0.539,0.7938,0.7874,0.6045,0.4849,0.3805,0.2553
rr,1.0,4,0,1,1.0,32,0.5592,0.8048,0.8192,0.615,0.4941,0.3828,0.2558
rr,3.0,4,0,1,1.0,32,0.5679,0.8077,0.8220000000000001,0.6194,0.4981,0.3842,0.2561
rr,10.0,4,0,1,1.0,32,0.5638,0.8065,0.8203,0.6174,0.4964,0.3836,0.256
dcg,0.001,4,0,1,2.0,32,0.3351,0.6673,0.5595,0.4246,0.3274,0.2902,0.2163
ndcg_5,0.001,4,0,1,2.0,32,0.3351,0.6673,0.5594,0.4245,0.3274,0.2902,0.2163
dcg,0.01,4,0,1,2.0,32,0.361,0.6824,0.602,0.4401,0.3426,0.2965,0.2184
ndcg_5,0.01,4,0,1,2.0,32,0.361,0.6824,0.602,0.4401,0.3426,0.2965,0.2184
dcg,0.1,4,0,1,2.0,32,0.6876,0.8468,0.9001,0.6668,0.5453,0.391,0.2538
ndcg_5,0.1,4,0,1,2.0,32,0.6876,0.8468,0.9001,0.6668,0.5453,0.391,0.2538
dcg,1.0,4,0,1,2.0,32,0.7047,0.8562,0.9104,0.6833,0.5587,0.3993,0.2577
ndcg_5,1.0,4,0,1,2.0,32,0.7048,0.8562,0.9104,0.6833,0.5587,0.3992,0.2577
dcg,3.0,4,0,1,2.0,32,0.7051,0.8566,0.9111,0.6839,0.5589999999999999,0.3995,0.2579
ndcg_5,3.0,4,0,1,2.0,32,0.7053,0.8564,0.9109,0.6835,0.5589,0.3993,0.2577
dcg,10.0,4,0,1,2.0,32,0.7061,0.8575,0.9139,0.6849,0.5595,0.3999,0.2581
ndcg_5,10.0,4,0,1,2.0,32,0.7062,0.8574,0.9135,0.6847,0.5594,0.3998,0.258
ap,0.001,4,0,1,2.0,32,0.3378,0.6685,0.5631,0.4258,0.3289,0.2909,0.2166
ap,0.01,4,0,1,2.0,32,0.4574,0.7322,0.7328,0.4956,0.3999,0.3218,0.2279
ap,0.1,4,0,1,2.0,32,0.7046,0.8553,0.9129999999999999,0.6802,0.5571,0.3973,0.2565
ap,1.0,4,0,1,2.0,32,0.7087,0.8585,0.9162,0.6859999999999999,0.5607,0.3999,0.2579
ap,3.0,4,0,1,2.0,32,0.7085,0.8590000000000001,0.9177,0.6865,0.5608,0.4001,0.258
ap,10.0,4,0,1,2.0,32,0.7064,0.8585,0.9179999999999999,0.6851,0.5597,0.3997,0.2579
rbp_80,0.001,4,0,1,2.0,32,0.7074,0.8505,0.9049,0.674,0.5552,0.39399999999999996,0.2544
rbp_90,0.001,4,0,1,2.0,32,0.7074,0.8505,0.9049,0.674,0.5552,0.39399999999999996,0.2544
rbp_95,0.001,4,0,1,2.0,32,0.7074,0.8505,0.9049,0.674,0.5552,0.39399999999999996,0.2544
rbp_80,0.01,4,0,1,2.0,32,0.7183,0.8562,0.9135,0.6826,0.562,0.397,0.2553
rbp_90,0.01,4,0,1,2.0,32,0.7173,0.8558,0.9126,0.6823,0.5618,0.397,0.2554
rbp_95,0.01,4,0,1,2.0,32,0.7173,0.8558,0.9126,0.6823,0.5618,0.397,0.2554
rbp_80,0.1,4,0,1,2.0,32,0.7264,0.8601,0.9191,0.6889,0.5667,0.3992,0.2562
rbp_90,0.1,4,0,1,2.0,32,0.7264,0.8601,0.9191,0.6889,0.5667,0.3992,0.2562
rbp_95,0.1,4,0,1,2.0,32,0.7264,0.8601,0.9191,0.6889,0.5667,0.3992,0.2562
rbp_80,1.0,4,0,1,2.0,32,0.5357,0.7712,0.7255,0.5735,0.4661,0.3625,0.2455
rbp_90,1.0,4,0,1,2.0,32,0.5357,0.7712,0.7255,0.5735,0.4661,0.3625,0.2455
